[31/08/2014 17:56:36] /i 12227
[31/08/2014 17:56:37] /i 12227
[31/08/2014 17:56:38] /i 12227
[31/08/2014 17:56:38] /i 12227
[31/08/2014 17:56:38] /i 12227
[31/08/2014 17:56:43] /i 12227
[31/08/2014 18:05:54] /m shiny gyarados
[31/08/2014 18:05:54] /m shiny gyarados
[31/08/2014 18:05:55] /m shiny gyarados
[31/08/2014 18:05:55] /m shiny gyarados
[31/08/2014 18:05:56] /m shiny gyarados
[31/08/2014 18:05:57] /m shiny gyarados
[31/08/2014 18:05:57] /m shiny gyarados
[31/08/2014 18:05:58] /m shiny gyarados
[31/08/2014 18:05:58] /m shiny gyarados
[31/08/2014 18:05:59] /m shiny gyarados
[31/08/2014 18:05:59] /m shiny gyarados
[31/08/2014 18:05:59] /m shiny gyarados
[31/08/2014 18:06:00] /m shiny gyarados
[31/08/2014 18:06:00] /m shiny gyarados
[31/08/2014 18:06:01] /m shiny gyarados
[31/08/2014 18:06:01] /m shiny gyarados
[31/08/2014 18:06:02] /m shiny gyarados
[31/08/2014 18:06:02] /m shiny gyarados
[31/08/2014 18:06:03] /m shiny gyarados
[31/08/2014 18:06:47] /m shiny gyarados
[31/08/2014 18:06:47] /m shiny gyarados
[31/08/2014 18:06:47] /m shiny gyarados
[31/08/2014 18:06:48] /m shiny gyarados
[31/08/2014 18:06:48] /m shiny gyarados
[31/08/2014 18:06:48] /m shiny gyarados
[31/08/2014 18:06:49] /m shiny gyarados
[31/08/2014 18:06:49] /m shiny gyarados
[31/08/2014 18:06:49] /m shiny gyarados
[31/08/2014 18:06:50] /m shiny gyarados
[31/08/2014 18:06:50] /m shiny gyarados
[31/08/2014 18:06:50] /m shiny gyarados
[31/08/2014 18:06:51] /m shiny gyarados
[31/08/2014 18:06:51] /m shiny gyarados
[31/08/2014 18:06:51] /m shiny gyarados
[31/08/2014 18:06:52] /m shiny gyarados
[31/08/2014 18:06:52] /m shiny gyarados
[31/08/2014 18:06:52] /m shiny gyarados
[31/08/2014 18:06:53] /m shiny gyarados
[31/08/2014 18:06:53] /m shiny gyarados
[31/08/2014 18:06:53] /m shiny gyarados
[31/08/2014 18:06:54] /m shiny gyarados
[31/08/2014 18:06:54] /m shiny gyarados
[31/08/2014 18:06:55] /m shiny gyarados
[31/08/2014 18:06:55] /m shiny gyarados
[31/08/2014 18:06:56] /m shiny gyarados
[31/08/2014 18:06:56] /m shiny gyarados
[31/08/2014 18:06:56] /m shiny gyarados
[31/08/2014 18:06:57] /m shiny gyarados
[31/08/2014 18:06:57] /m shiny gyarados
[31/08/2014 18:06:58] /m shiny gyarados
[31/08/2014 18:06:58] /m shiny gyarados
[31/08/2014 18:06:59] /m shiny gyarados
[31/08/2014 18:06:59] /m shiny gyarados
[31/08/2014 18:07:00] /m shiny gyarados
[31/08/2014 18:07:00] /m shiny gyarados
[31/08/2014 18:07:00] /m shiny gyarados
[31/08/2014 18:07:01] /m shiny gyarados
[31/08/2014 18:07:01] /m shiny gyarados
[31/08/2014 18:07:02] /m shiny gyarados
[31/08/2014 18:07:02] /m shiny gyarados
[31/08/2014 18:08:03] /m shiny jynx
[31/08/2014 18:08:04] /m shiny jynx
[31/08/2014 18:08:04] /m shiny jynx
[31/08/2014 18:08:05] /m shiny jynx
[31/08/2014 18:08:07] /m shiny jynx
[31/08/2014 18:08:08] /m shiny jynx
[31/08/2014 18:08:08] /m shiny jynx
[31/08/2014 18:08:09] /m shiny jynx
[31/08/2014 18:08:09] /m shiny jynx
[31/08/2014 18:08:10] /m shiny jynx
[31/08/2014 18:08:13] /m shiny gyarados
[31/08/2014 18:08:16] /m shiny jynx
[31/08/2014 18:08:16] /m shiny jynx
[31/08/2014 18:08:16] /m shiny jynx
[31/08/2014 18:08:17] /m shiny jynx
[31/08/2014 18:08:17] /m shiny jynx
[31/08/2014 18:08:18] /m shiny jynx
[31/08/2014 18:08:41] /m shiny gyarados
[31/08/2014 18:08:45] /m shiny jynx
[31/08/2014 18:08:46] /m shiny jynx
[31/08/2014 18:08:46] /m shiny jynx
[31/08/2014 18:08:47] /m shiny jynx
[31/08/2014 18:08:47] /m shiny jynx
[31/08/2014 18:08:47] /m shiny jynx
[31/08/2014 18:08:48] /m shiny jynx
[31/08/2014 18:08:48] /m shiny jynx
[31/08/2014 18:08:48] /m shiny jynx
[31/08/2014 18:08:49] /m shiny jynx
[31/08/2014 18:08:49] /m shiny jynx
[31/08/2014 18:08:51] /m shiny jynx
[31/08/2014 18:08:53] /m shiny jynx
[31/08/2014 18:09:14] /m shiny jynx
[31/08/2014 18:09:14] /m shiny jynx
[31/08/2014 18:09:15] /m shiny jynx
[31/08/2014 18:09:15] /m shiny jynx
[31/08/2014 18:09:16] /m shiny jynx
[31/08/2014 18:09:16] /m shiny jynx
[31/08/2014 18:09:16] /m shiny jynx
[31/08/2014 18:09:17] /m shiny jynx
[31/08/2014 18:09:17] /m shiny jynx
[31/08/2014 18:09:18] /m shiny jynx
[31/08/2014 18:09:18] /m shiny jynx
[31/08/2014 18:09:19] /m shiny jynx
[31/08/2014 18:09:19] /m shiny jynx
[31/08/2014 18:09:19] /m shiny jynx
[31/08/2014 18:10:09] /m shiny jynx
[31/08/2014 18:10:10] /m shiny jynx
[31/08/2014 18:10:10] /m shiny jynx
[31/08/2014 18:10:10] /m shiny jynx
[31/08/2014 18:10:12] /m shiny jynx
[31/08/2014 18:10:13] /m shiny jynx
[31/08/2014 18:10:13] /m shiny jynx
[31/08/2014 18:10:13] /m shiny jynx
[31/08/2014 18:10:39] /m shiny tangela
[31/08/2014 18:10:40] /m shiny tangela
[31/08/2014 18:10:41] /m shiny tangela
[31/08/2014 18:10:41] /m shiny tangela
[31/08/2014 18:10:41] /m shiny tangela
[31/08/2014 18:10:41] /m shiny tangela
[31/08/2014 18:10:42] /m shiny tangela
[31/08/2014 18:10:42] /m shiny tangela
[31/08/2014 18:10:44] /m shiny tangela
[31/08/2014 18:10:44] /m shiny tangela
[31/08/2014 18:11:24] /goto shiny tangela
[31/08/2014 18:12:26] /i y-regeneration t7
[31/08/2014 18:12:37] /i x-attack t7
[31/08/2014 18:12:52] /goto snover
[31/08/2014 18:12:57] /goto snowver
[31/08/2014 18:13:12] /goto snover
[31/08/2014 18:13:14] /goto snover
[31/08/2014 18:13:21] /goto abosmanow
[31/08/2014 18:13:23] /goto abosmanow
[31/08/2014 18:13:24] /goto abosmanow
[31/08/2014 18:13:27] /goto
[31/08/2014 18:13:39] /goto snover
[31/08/2014 18:13:44] /goto snowver
[31/08/2014 18:14:02] /goto abomasnow
[31/08/2014 18:14:09] /goto shiny tangela
[31/08/2014 18:14:31] /goto shiny tangela
[31/08/2014 18:15:24] /m salamance
[31/08/2014 18:15:30] /m salamence
[31/08/2014 18:16:07] /m salamence,50
[31/08/2014 18:20:14] /goto elder jynx
[31/08/2014 18:20:28] /goto scyther
[31/08/2014 18:21:17] /goto shiny pincis
[31/08/2014 18:21:19] /goto shiny pinsir
[31/08/2014 18:22:27] /goto scyther
[31/08/2014 18:22:36] /goto scyther
[31/08/2014 18:23:35] /goto shiny scyther
[31/08/2014 18:23:49] /t
[31/08/2014 18:38:16] /i x-attack t7
[31/08/2014 18:38:24] /i y-regeneration t7
[31/08/2014 18:38:55] /i y-regeneration t7
[31/08/2014 18:38:56] /i x-attack t7
[31/08/2014 18:39:00] /i y-regeneration t7
[31/08/2014 18:39:00] /i x-attack t7
[31/08/2014 18:39:01] /i y-regeneration t7
[31/08/2014 18:39:02] /i x-attack t7
[31/08/2014 18:39:05] /i y-regeneration t7
[31/08/2014 18:39:05] /i x-attack t7
[31/08/2014 19:04:44] /goto gyarados
[31/08/2014 19:05:00] /goto tribal feragatr
[31/08/2014 19:05:09] /goto tribal feraligatr
[31/08/2014 19:05:30] /a 10
[31/08/2014 19:05:31] /a 10
[31/08/2014 19:05:33] /a 10
[31/08/2014 19:05:37] /a 10
[31/08/2014 19:05:38] /a 10
[31/08/2014 19:05:40] /a 10
[31/08/2014 19:05:42] /a 10
[31/08/2014 19:05:44] /a 10
[31/08/2014 19:05:45] /a 10
[31/08/2014 19:06:08] /ghost
[31/08/2014 19:09:30] /goto war gyarados
